threads,real,user,sys,memory_kb
1,33.38,29.84,3.23,33205260
2,9.30,13.53,3.33,33203532
4,5.48,13.46,3.65,33203544
6,4.03,13.47,3.47,33201812
8,3.35,13.50,3.57,33201228
10,2.96,13.81,3.58,33198924
12,2.71,13.56,3.57,33200124
14,2.58,13.65,3.72,33201228
16,2.48,13.75,3.79,33198348
18,2.26,13.80,3.78,33197244
20,2.18,14.01,3.74,33197192
22,2.15,14.17,4.03,33193164
24,2.10,14.10,4.01,33193736
26,1.99,14.22,4.03,33192632
28,1.94,14.44,3.96,33192608
30,1.94,15.08,4.21,33193212
32,1.94,15.42,4.34,33187436
34,1.91,15.63,4.41,33187404
36,1.97,15.44,4.52,33192056
38,1.82,16.51,4.48,33189156
40,1.82,16.32,4.49,33187976
42,1.84,16.28,4.78,33188020
44,1.89,18.00,5.27,33189132
46,1.83,17.78,5.18,33192064
48,1.87,19.13,5.21,33188556
50,1.86,20.16,5.52,33188580
52,1.91,20.61,5.48,33187980
54,1.84,20.10,5.91,33187428
56,1.86,21.41,5.97,33188548
58,1.90,21.71,6.01,33189148
60,1.84,22.43,6.22,33190284
62,1.88,23.10,6.03,33186884
64,1.82,23.00,6.11,33188004
66,1.82,23.91,6.18,33189132
68,1.86,26.99,6.63,33186844
70,1.86,26.84,6.25,33187428
72,1.89,28.15,6.58,33187404
74,1.95,27.95,6.52,33190308
76,1.92,27.59,6.43,33188004
78,1.88,25.43,6.41,33190300
80,1.93,29.43,6.21,33187500
82,1.88,27.66,6.60,33189132
84,1.85,26.19,6.44,33186828
