  1: 33.38 real	29.84 user	3.23 sys	33205260 memory (KB)
  2: 9.30 real	13.53 user	3.33 sys	33203532 memory (KB)
  4: 5.48 real	13.46 user	3.65 sys	33203544 memory (KB)
  6: 4.03 real	13.47 user	3.47 sys	33201812 memory (KB)
  8: 3.35 real	13.50 user	3.57 sys	33201228 memory (KB)
 10: 2.96 real	13.81 user	3.58 sys	33198924 memory (KB)
 12: 2.71 real	13.56 user	3.57 sys	33200124 memory (KB)
 14: 2.58 real	13.65 user	3.72 sys	33201228 memory (KB)
 16: 2.48 real	13.75 user	3.79 sys	33198348 memory (KB)
 18: 2.26 real	13.80 user	3.78 sys	33197244 memory (KB)
 20: 2.18 real	14.01 user	3.74 sys	33197192 memory (KB)
 22: 2.15 real	14.17 user	4.03 sys	33193164 memory (KB)
 24: 2.10 real	14.10 user	4.01 sys	33193736 memory (KB)
 26: 1.99 real	14.22 user	4.03 sys	33192632 memory (KB)
 28: 1.94 real	14.44 user	3.96 sys	33192608 memory (KB)
 30: 1.94 real	15.08 user	4.21 sys	33193212 memory (KB)
 32: 1.94 real	15.42 user	4.34 sys	33187436 memory (KB)
 34: 1.91 real	15.63 user	4.41 sys	33187404 memory (KB)
 36: 1.97 real	15.44 user	4.52 sys	33192056 memory (KB)
 38: 1.82 real	16.51 user	4.48 sys	33189156 memory (KB)
 40: 1.82 real	16.32 user	4.49 sys	33187976 memory (KB)
 42: 1.84 real	16.28 user	4.78 sys	33188020 memory (KB)
 44: 1.89 real	18.00 user	5.27 sys	33189132 memory (KB)
 46: 1.83 real	17.78 user	5.18 sys	33192064 memory (KB)
 48: 1.87 real	19.13 user	5.21 sys	33188556 memory (KB)
 50: 1.86 real	20.16 user	5.52 sys	33188580 memory (KB)
 52: 1.91 real	20.61 user	5.48 sys	33187980 memory (KB)
 54: 1.84 real	20.10 user	5.91 sys	33187428 memory (KB)
 56: 1.86 real	21.41 user	5.97 sys	33188548 memory (KB)
 58: 1.90 real	21.71 user	6.01 sys	33189148 memory (KB)
 60: 1.84 real	22.43 user	6.22 sys	33190284 memory (KB)
 62: 1.88 real	23.10 user	6.03 sys	33186884 memory (KB)
 64: 1.82 real	23.00 user	6.11 sys	33188004 memory (KB)
 66: 1.82 real	23.91 user	6.18 sys	33189132 memory (KB)
 68: 1.86 real	26.99 user	6.63 sys	33186844 memory (KB)
 70: 1.86 real	26.84 user	6.25 sys	33187428 memory (KB)
 72: 1.89 real	28.15 user	6.58 sys	33187404 memory (KB)
 74: 1.95 real	27.95 user	6.52 sys	33190308 memory (KB)
 76: 1.92 real	27.59 user	6.43 sys	33188004 memory (KB)
 78: 1.88 real	25.43 user	6.41 sys	33190300 memory (KB)
 80: 1.93 real	29.43 user	6.21 sys	33187500 memory (KB)
 82: 1.88 real	27.66 user	6.60 sys	33189132 memory (KB)
 84: 1.85 real	26.19 user	6.44 sys	33186828 memory (KB)
