threads,real,user,sys,memory_kb
1,8.93,34.67,0.00,3492
2,17.46,34.62,0.00,3468
4,13.50,43.78,0.00,2892
6,7.31,39.01,0.00,2892
8,5.08,35.53,0.00,3492
10,3.44,33.89,0.00,3488
12,3.86,38.74,0.00,3468
14,2.77,33.73,0.00,2892
16,3.64,39.67,0.00,2888
18,2.84,38.50,0.00,3492
20,2.57,37.33,0.00,2940
22,2.44,36.48,0.00,2892
24,2.24,36.29,0.00,2912
26,2.11,40.85,0.00,3488
28,2.01,40.12,0.00,2888
30,1.58,35.93,0.00,3492
32,1.53,37.13,0.00,3468
34,1.72,41.25,0.00,2892
36,1.62,39.36,0.00,3488
38,1.60,38.83,0.00,2908
40,1.50,39.82,0.00,3516
42,1.43,41.13,0.01,3456
44,1.36,43.80,0.00,3468
46,1.32,45.45,0.00,3492
48,1.26,46.46,0.00,3468
50,1.23,48.45,0.00,3472
52,1.18,50.26,0.00,3480
54,1.10,49.55,0.00,3468
56,1.09,51.04,0.00,2892
58,1.08,52.44,0.00,2916
60,1.06,53.17,0.00,2916
62,1.03,54.87,0.01,3492
64,0.99,55.64,0.00,2916
66,0.97,56.49,0.01,3492
68,0.94,56.94,0.01,3488
70,0.92,57.96,0.00,2888
72,0.89,58.82,0.01,3456
74,1.19,58.40,0.01,2916
76,1.23,58.39,0.01,2892
78,1.24,58.31,0.01,3484
80,1.25,57.06,0.01,3492
82,1.13,56.85,0.01,3524
84,1.16,56.67,0.01,2892
